1,00010,ZYRTEC,CETIRIZINE,10MG,MG,B/10,NULL,O,1997/06/10,NULL,NULL,60,NULL,143,NULL,NULL,NULL,O,NULL,NULL,NULL,04601A00397,2010/03/13,"10En cas de prescription de ce medicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 75.00DA.",01A003,NULL,G
2,00011,VIRLIX,CETIRIZINE,10MG,NULL,B/15,NULL,O,NULL,NULL,NULL,90,NULL,014,NULL,NULL,NULL,O,NULL,NULL,NULL,05701A00398,2010/03/13,"10En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 112.50DA.",01A003,NULL,P
3,00012,CERIN,CETIRIZINE DIHYDROCHLORHYDE,10MG,NULL,B/10,NULL,O,2002/12/14,NULL,NULL,60,NULL,143,NULL,O,O,O,NULL,NULL,NULL,09801A00302,2010/03/13,"10En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 75.00DA.",01A003,NULL,G
4,00013,ZERAN,CETIRIZINE,10MG,MG,B/10,NULL,O,1998/10/19,NULL,NULL,60,NULL,014,NULL,NULL,NULL,O,NULL,NULL,NULL,11801A00398,2010/03/13,"10En cas de prescription de ce médicament anterieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de reference suivant: 75.00DA.",01A003,NULL,G
5,00014,ALERID,CETIRIZINE,10MG,MG,B/10,NULL,O,1999/01/05,NULL,NULL,60,NULL,014,NULL,NULL,NULL,O,NULL,NULL,NULL,18201A00399,2010/03/13,"10En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 75.00DA.",01A003,NULL,G
6,00015,CETRYN,CETIRIZINE,10MG,MG,B/10,NULL,O,1998/12/23,NULL,NULL,60,NULL,014,NULL,NULL,NULL,O,NULL,NULL,NULL,19601A00398,2010/03/13,"10En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 75.00DA.",01A003,O,G
7,00016,HISTARIZINE,"CETIRIZINE, DICHLORHYDRATE",10MG,MG,BTE/10,NULL,O,2004/10/04,NULL,NULL,60,NULL,161,NULL,O,O,O,213,NULL,NULL,30401A00317,2010/03/13,"10En cas de prescription de ce médicament antérieure à la date du 13.03.2010, il y'a lieu d'appliquer le tarif de référence suivant: 75.00DA.",01A003,NULL,G
8,00019,HISTAGAN,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/20,NULL,O,NULL,NULL,NULL,40,NULL,014,NULL,O,O,O,213,NULL,NULL,00301A00598,2018/01/29,10,01A005,NULL,G
9,00020,POLARAMINE,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/30,NULL,O,NULL,NULL,NULL,60,NULL,014,NULL,O,O,O,NULL,NULL,NULL,02701A00597,2018/01/29,10,01A005,NULL,P
10,00021,CLARAMINE,DEXCHLORPHENIRAMINE MALEATE,2,MG,B/30,NULL,O,NULL,NULL,NULL,60,NULL,014,NULL,O,O,O,NULL,NULL,NULL,07401A00599,2018/01/29,10,01A005,NULL,G
