nc_10511,TETRAZEPAM,dci_4292,TETRAZEPAM-BIOGARAN,TETRAZEPAM,29521E03004,COMP.PELLI,50 MG,B/20,NULL,O,O,,,NULL,,,Gé,,,,,N/A,med_14421,3,med_14763
nc_10512,THEOPHYLLINE,dci_4299,THEOPHYLINE BRUNEAU,THEOPHYLINE  LP,05720A02498,COMP.PELLI,200MG,B/30,NULL,O,O,,,NULL,,,Ré,,,,,N/A,med_14422,3,med_14764
nc_10513,HORMONES THYROIDIENNES,dci_2843,THYRO - 4,THYROXINE,11109K05799,COMP.PELL.LP,100,B/100,NULL,O,O,,,NULL,,,Gé,,,,,N/A,med_14013,3,med_14765
nc_10514,ASCORBATE FERREUX,dci_820,TIMO FEROL,SULFATE  FERREUX /ACIDE ASCORBIQUE,31812E12005,GLES.,50MG(FER)/30 MG,B/24,NULL,O,O,,,NULL,,,Gé,,,,,N/A,med_13630,3,med_14766
nc_10515,TIMOLOL,dci_4358,TIMODROP,TIMOLOL MALEATE,543/17 C 013/20,COLLYRE EN SOLUTIO STERILE,"0,005",FL/5ML,LISTE I,HOP,OFF,,BIOTHERA SARL,213,43955,43955,Gé,F,24MOIS,,,D,med_14432,4,med_14767
nc_10516,RACECADOTRIL,dci_3859,TIOPAM NOURRISSONS,RACECADOTRIL,26310H17717,COMP.,10MG,BTE/16 SACHETS,NULL,NULL,O,,,213,,,Gé,,,,,N/A,med_14341,3,med_14768
nc_10517,METOPROLOL,dci_2580,TOLOL,METOPROLOL SUCCINATE,242/06 F 204/19,GLES LP A MICROGRANULES,100MG,B/30,LISTE I,HOP,OFF,,GROUPE SANTE SARL,213,43810,43810,Gé,Fprémix,24MOIS,,,D,med_14191,3,med_14769
nc_10518,PENTOXIFYLLINE,dci_3500,TORENTAL LP,PENTOXIFYLLINE LP,03306J10598,COMP.,400MG,B/20,NULL,O,O,,,NULL,,,Ré,,,,,N/A,med_14291,3,med_14770
nc_10519,ATORVASTATINE,dci_878,TORVASTINE,"ATORVASTATINE, SOUS FORME CALCIQUE TRIHYDRATEE",52806M23218,COMP.,40 MG,BTE/30,NULL,NULL,O,,,213,,,Gé,,,,,N/A,med_13643,3,med_14771
nc_10519,ATORVASTATINE,dci_878,TORVASTINE,"ATORVASTATINE, SOUS FORME CALCIQUE TRIHYDRATEE",52806M23318,GRLES.SUSP.BUV.,80 MG,BTE/30,NULL,NULL,O,,,213,,,Gé,,,,,N/A,med_13639,2,med_14772
