00025,med_14195
00031,med_14478
00138,med_13982
00139,med_13986
00142,med_13987
00143,med_13988
00146,med_14091
00146,med_14092
00147,med_14091
00147,med_14092
00155,med_13985
00156,med_13984
00206,med_13927
00211,med_14645
00239,med_14587
00256,med_14775
00257,med_14155
00257,med_14156
00258,med_14155
00258,med_14156
00260,med_14157
00278,med_14833
00281,med_14508
00291,med_14205
00291,med_14206
00291,med_14207
00291,med_14208
00302,med_14209
00312,med_14205
00312,med_14206
00312,med_14207
00312,med_14208
00314,med_14552
00329,med_14210
00344,med_14205
00344,med_14206
00344,med_14207
00344,med_14208
00354,med_14203
00356,med_14551
00362,med_14204
00364,med_14205
00364,med_14206
00364,med_14207
00364,med_14208
00403,med_13970
00403,med_13971
00406,med_14543
00409,med_14387
00423,med_14649
00461,med_14845
00464,med_14619
00471,med_14622
00489,med_14646
00489,med_14647
00497,med_14553
00500,med_14263
00501,med_14846
00509,med_13970
00509,med_13971
00564,med_14482
00617,med_14219
00618,med_14218
00622,med_14220
00624,med_14495
00627,med_14522
00631,med_14449
00652,med_13920
00660,med_14811
00668,med_14216
00668,med_14217
00671,med_14216
00671,med_14217
00684,med_14683
00691,med_14530
00700,med_13939
00709,med_14084
00717,med_14081
00717,med_14082
00717,med_14083
00724,med_14085
00724,med_14086
00737,med_14081
00737,med_14082
00737,med_14083
00744,med_14085
00744,med_14086
00775,med_14483
00796,med_14614
00796,med_14615
00796,med_14616
00796,med_14617
00797,med_14614
00797,med_14615
00797,med_14616
00797,med_14617
00824,med_13909
00845,med_14444
00846,med_14487
00852,med_14657
00862,med_14093
00863,med_14094
00865,med_14837
00872,med_14398
00872,med_14399
00873,med_14398
00873,med_14399
00889,med_14307
00920,med_14288
00928,med_14770
00930,med_14607
00934,med_14682
00948,med_14433
00976,med_14236
00985,med_13972
00985,med_13973
00999,med_14733
01034,med_14527
01034,med_14528
01034,med_14529
01035,med_14241
01040,med_14527
01040,med_14528
01040,med_14529
01043,med_14527
01043,med_14528
01043,med_14529
01050,med_14503
01051,med_14488
01056,med_14189
01090,med_14606
01101,med_14150
01102,med_14148
01102,med_14149
01103,med_14148
01103,med_14149
01146,med_14167
01153,med_14114
01171,med_14662
01177,med_14759
01177,med_14760
01178,med_14759
01178,med_14760
01181,med_14563
01181,med_14564
01181,med_14565
01181,med_14566
01182,med_14563
