med_1,Non-Ren,,,1
med_2,Non-Ren,,,1
med_3,A,,,1
med_4,Non-Ren,,,1
med_5,A,,,1
med_6,Retiré,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_7,Retiré,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_8,Retiré,27/10/2013,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_9,Non-Ren,,,1
med_10,Non-Ren,,,1
med_11,Non-Ren,,,1
med_12,Non-Ren,,,1
med_13,Retiré,08/05/2011,RETRAIT PAR LE MSPRH POUR INTERDICTION D'IMPORTATION,0
med_14,Retiré,16/04/2013,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_15,Non-Ren,,,1
med_16,Non-Ren,,,1
med_17,Non-Ren,,,1
med_18,Non-Ren,,,1
med_19,Non-Ren,,,1
med_20,Non-Ren,,,1
med_21,Retiré,15/09/2013,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_22,Retiré,27/10/2013,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_23,Retiré,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_24,Non-Ren,,,1
med_25,Non-Ren,,,1
med_26,Non-Ren,,,1
med_27,Non-Ren,,,1
med_28,Non-Ren,,,1
med_29,Non-Ren,,,1
med_30,A,,,1
med_31,A,,,1
med_32,Non-Ren,,,1
med_33,Non-Ren,,,1
med_34,Non-Ren,,,1
med_35,Non-Ren,,,1
med_36,Non-Ren,,,1
med_37,Non-Ren,,,1
med_39,Non-Ren,,,1
med_38,Non-Ren,,,1
med_40,Non-Ren,,,1
med_41,Non-Ren,,,1
med_42,A,,,1
med_43,A,,,1
med_44,A,,,1
med_45,Non-Ren,,,1
med_46,Non-Ren,,,1
med_47,Non-Ren,,,1
med_48,A,,,1
med_49,A,,,1
med_52,Retiré,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_53,Retiré,RETRAIT,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
med_54,A,,,1
med_55,A,,,1
med_56,A,,,1
med_57,A,,,1
med_58,Non-Ren,,,1
med_59,Non-Ren,,,1
med_62,A,,,1
med_63,A,,,1
med_64,Retiré,27/10/2013,RETRAIT PAR LE DETENTEUR POUR MOTIF COMMERCIAL,0
