27655	Rosary Sisters Hospital	NULL	NULL	NULL	GVG9+4H3, Aydoun, Jordanie	(02) 710 2011	NULL	NULL	NULL	NULL	NULL	Bani Obeid District	Aydoun	NULL	http://www.rosaryhospitaljo.com/	NULL	2022-05-23 16:39:20.559395	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	32.5252661,35.8689156	NULL	0	https://maps.google.com/?cid=11736620110520256786	ChIJm20Az_l2HBUREglEp87Z4KI	NULL	NULL	NULL	0
29958	The ENT Care Clinic (Dr. Hanif Memon)	NULL	NULL	NULL	W396+2GM, Hussainabad Food St, FB Area Block 3 Karimabad Block 3 Gulberg Town, Karachi, Karachi City, Sindh, Pakistan	(021) 32252150	NULL	NULL	NULL	NULL	NULL	Karachi City	Karachi	NULL	NULL	NULL	2022-05-23 19:04:20.424607	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24.9175811,67.0612945	NULL	0	https://maps.google.com/?cid=13053352319877558449	ChIJNZ9OyxM_sz4RsbBSesbSJrU	NULL	NULL	NULL	0
29942	Dr. M Hanif Clinic	NULL	NULL	NULL	AB-1, New Dhoraji Colony Apartments, ST-18، Block 4 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300, Pakistan	(021) 34968999	NULL	NULL	NULL	NULL	NULL	Karachi City	Karachi	75300	https://dr-m-hanif-clinic.business.site/?utm_source=gmb&utm_medium=referral	NULL	2022-05-23 19:04:15.834393	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24.934034,67.09670299999999	NULL	0	https://maps.google.com/?cid=15654417497084754447	ChIJKzk5X7M4sz4RD3pl38WpP9k	NULL	NULL	NULL	0
29950	Dr. Muhammad Hanif Clinic	NULL	NULL	NULL	AB-1, New Dhoraji Colony Apartments, Naqash Kazmi Rd, near Patel Hospital, Block 4 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh 75300, Pakistan	(021) 34968999	NULL	NULL	NULL	NULL	NULL	Karachi City	Karachi	75300	NULL	NULL	2022-05-23 19:04:18.070329	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24.934034,67.09670299999999	NULL	0	https://maps.google.com/?cid=6727919622669913647	ChIJoQd7L8I_sz4RL86eMkBfXl0	NULL	NULL	NULL	0
29953	Dr Hanif Mesiya Clinic	NULL	NULL	NULL	R3M9+23J, D.H.A Phase II Extension Phase 2 Commercial Area Defence Housing Authority, Karachi, Karachi City, Sindh 75500, Pakistan	(021) 35393851	NULL	NULL	NULL	NULL	NULL	Karachi City	Karachi	75500	NULL	NULL	2022-05-23 19:04:18.914834	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24.8325759,67.0676407	NULL	0	https://maps.google.com/?cid=13811837219268135617	ChIJjb_KZEA8sz4RwQr_zcWArb8	NULL	NULL	NULL	0
29944	Dr Hanif Mesiya's Clinic	NULL	NULL	NULL	R3M9+224, South Park Avenue, D.H.A Phase II Extension Phase 2 Commercial Area Defence Housing Authority, Karachi, Karachi City, Sindh 75500, Pakistan	(021) 35393852	NULL	NULL	NULL	NULL	NULL	Karachi City	Karachi	75500	NULL	NULL	2022-05-23 19:04:16.406054	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	24.8325061,67.067585	NULL	0	https://maps.google.com/?cid=8018190591335384740	ChIJcWuiY0A8sz4RpMbsUdxVRm8	NULL	NULL	NULL	0
30089	Dr Asif Hanif Clinic	NULL	NULL	NULL	Samanabad Lahore Pakistan Bastami Rd, Bastami Road Samanabad Lahore Pakistan Bastami Rd, Samanabad Town, Lahore, Punjab 54500, Pakistan	(042) 37597379	NULL	NULL	NULL	NULL	NULL	Lahore	Lahore	54500	NULL	NULL	2022-05-23 19:10:40.287865	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	31.53387769999999,74.297344	NULL	0	https://maps.google.com/?cid=8201204530790990818	ChIJT7t9NGgDGTkR4gMfpBGI0HE	NULL	NULL	NULL	0
29948	Dr Hanif Eye Clinic	NULL	NULL	NULL	787F+X92, Civil Lines Jhang Sadar, Jhang, Punjab, Pakistan	(047) 7622363	NULL	NULL	NULL	NULL	NULL	Jhang	Jhang Sadar	NULL	NULL	NULL	2022-05-23 19:04:17.502787	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	31.2648791,72.3234019	NULL	0	https://maps.google.com/?cid=12287767466000733580	ChIJmwdVa3GYIzkRjFWTLWjrhqo	NULL	NULL	NULL	0
29951	Hanif Homeo Clinic	NULL	NULL	NULL	1st floor office no 1 vip plaza I-8 markaz، I-8 Markaz I 8 Markaz I-8, Islamabad, Islamabad Capital Territory 44000, Pakistan	(051) 4861028	NULL	NULL	NULL	NULL	NULL	Islamabad	Islamabad	44000	NULL	NULL	2022-05-23 19:04:18.395935	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	33.66771,73.07442	NULL	0	https://maps.google.com/?cid=2137660033056582552	ChIJ9w2QokWV3zgRmCvjaHl-qh0	NULL	NULL	NULL	0
29945	Hanif Medical Complex	NULL	NULL	NULL	Near Asghar Mall Chowk Adjacent Bank Al-Falah، Saidpur Rd, Block E Asghar Mall Scheme, Rawalpindi, Punjab, Pakistan	(051) 8487999	NULL	NULL	NULL	NULL	NULL	Rawalpindi	Rawalpindi	NULL	https://hanifhospital.business.site/	NULL	2022-05-23 19:04:16.675774	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL	NULL	33.6306512,73.061842	NULL	0	https://maps.google.com/?cid=8493879105413292766	ChIJnUTIL-eU3zgR3qJFOwtS4HU	NULL	NULL	NULL	0
